id;nome;esfera;categoria;uf;criado_em;Ano do ato legal mais recente;Ato Legal de Criação;municipios;area;amazonia;caatinga;cerrado;mata;pampa;pantanal;mar;bioma;grupo;latitude;longitude
0000.00.1060;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MEANDROS III;Federal;Reserva Particular do Patrimônio Natural;SP;2001;2001;Portaria 150 de 24/10/2001;IBIÚNA (SP);73.0;0;0;0;73;0;0;0;Mata Atlântica;Uso Sustentável;-23.6596;-47.223
0000.00.1061;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA HORII;Federal;Reserva Particular do Patrimônio Natural;SP;1999;1999;Portaria 108/99-N de 10/12/1999;GUAPIARA (SP);34.0;0;0;0;34;0;0;0;Mata Atlântica;Uso Sustentável;-24.1892;-48.5295
0000.00.1062;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA BELA AURORA;Federal;Reserva Particular do Patrimônio Natural;SP;1999;1999;Portaria 62-N de 16/07/1999;CRUZEIRO (SP);86.0;0;0;0;86;0;0;0;Mata Atlântica;Uso Sustentável;-22.5728;-44.969
0000.00.1063;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTÂNCIA JATOBÁ;Federal;Reserva Particular do Patrimônio Natural;SP;2000;2000;Portaria 105 de 27/12/2000;JAGUARIÚNA (SP);26.0;0;0;0;26;0;0;0;Mata Atlântica;Uso Sustentável;-22.7037;-46.9851
0000.00.1064;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CENTRO DE VIVÊNCIA COM A NATUREZA - CVN;Federal;Reserva Particular do Patrimônio Natural;SP;2001;2001;Portaria 34 de 02/03/2001;ARAÇOIABA DA SERRA (SP);28.0;0;0;0;28;0;0;0;Mata Atlântica;Uso Sustentável;-23.5029;-47.6166
0000.00.1065;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA RIZZIERI;Federal;Reserva Particular do Patrimônio Natural;SP;2003;2003;Portaria 5 de 06/02/2003;SÃO SEBASTIÃO (SP);13.0;0;0;0;13;0;0;0;Mata Atlântica;Uso Sustentável;-23.7951;-45.4143
0000.00.1068;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO RYAN;Federal;Reserva Particular do Patrimônio Natural;SP;1993;1993;Portaria 112/93-N de 20/10/1993;ITAPEVI (SP);19.0;0;0;0;19;0;0;0;Mata Atlântica;Uso Sustentável;-23.5488;-46.9327
0000.00.1070;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL TOQUE TOQUE PEQUENO;Federal;Reserva Particular do Patrimônio Natural;SP;2000;2000;Portaria 9-N de 18/02/2000;SÃO SEBASTIÃO (SP);3.0;0;0;0;3;0;0;0;Mata Atlântica;Uso Sustentável;-23.7951;-45.4143
0000.00.1071;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VOTURUNA II;Federal;Reserva Particular do Patrimônio Natural;SP;1994;1994;Portaria 123/94-N de 14/11/1994;SANTANA DE PARNAÍBA (SP);58.0;0;0;0;58;0;0;0;Mata Atlântica;Uso Sustentável;-23.4439;-46.9178
0000.00.1072;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VOTURUNA V;Federal;Reserva Particular do Patrimônio Natural;SP;1994;1994;Portaria 113-N de 21/10/1994;PIRAPORA DO BOM JESUS (SP);56.0;0;0;0;56;0;0;0;Mata Atlântica;Uso Sustentável;-23.3965;-46.9991
0000.00.1074;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ECOWORLD;Federal;Reserva Particular do Patrimônio Natural;SP;1999;1999;Portaria 64 de 19/07/1999;ATIBAIA (SP);51.0;0;0;0;51;0;0;0;Mata Atlântica;Uso Sustentável;-23.1171;-46.5563
0000.00.1075;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CARBOCLORO S/A;Federal;Reserva Particular do Patrimônio Natural;SP;1992;1993;Portaria 145/92-N de 30/12/1992;CUBATÃO (SP);1.0;0;0;0;1;0;0;0;Mata Atlântica;Uso Sustentável;-23.8911;-46.424
0000.00.1076;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO PRIMAVERA;Federal;Reserva Particular do Patrimônio Natural;SP;2000;2000;Portaria 37 de 20/06/2000;SÃO LUIZ DO PARAITINGA (SP);19.0;0;0;0;19;0;0;0;Mata Atlântica;Uso Sustentável;-23.222;-45.3109
0000.00.1077;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FONTE DA BICA;Federal;Reserva Particular do Patrimônio Natural;SE;1999;1999;Portaria 70 de 13/09/1999;AREIA BRANCA (SE);13.0;0;0;0;13;0;0;0;Mata Atlântica;Uso Sustentável;-10.758;-37.3251
0000.00.1078;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA RIO DAS FURNAS;Federal;Reserva Particular do Patrimônio Natural;SC;2002;2002;Portaria 61 de 18/04/2002;ALFREDO WAGNER (SC);10.0;0;0;0;10;0;0;0;Mata Atlântica;Uso Sustentável;-27.7001;-49.3273
0000.00.1082;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL NORMANDO TEDESCO;Federal;Reserva Particular do Patrimônio Natural;SC;1999;1999;Portaria 57-N/1999 de 09/07/1999;BALNEÁRIO CAMBORIÚ (SC);4.0;0;0;0;4;0;0;0;Mata Atlântica;Uso Sustentável;-26.9926;-48.6352
0000.00.1083;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA PALMITAL;Federal;Reserva Particular do Patrimônio Natural;SC;1992;1992;Portaria 70 de 25/06/1992;ITAPOÁ (SC);591.0;0;0;0;591;0;0;0;Mata Atlântica;Uso Sustentável;-26.1158;-48.6182
0000.00.1084;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA NATURAL MENINO DEUS;Federal;Reserva Particular do Patrimônio Natural;SC;1999;1999;Portaria 85 de 06/10/1999;FLORIANÓPOLIS (SC);16.0;0;0;0;16;0;0;0;Mata Atlântica;Uso Sustentável;-27.5945;-48.5477
0000.00.1085;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PRIMA LUNA;Federal;Reserva Particular do Patrimônio Natural;SC;2001;2001;Portaria 100 de 03/09/2001;NOVA TRENTO (SC);100.0;0;0;0;100;0;0;0;Mata Atlântica;Uso Sustentável;-27.278;-48.9298
0000.00.1086;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PARQUE ECOLÓGICO ARTEX;Federal;Reserva Particular do Patrimônio Natural;SC;1992;1993;Portaria 143-N de 30/12/1992;BLUMENAU (SC);5296.0;0;0;0;5296;0;0;0;Mata Atlântica;Uso Sustentável;-26.9155;-49.0709
0000.00.1088;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA ARAUCÁRIA;Federal;Reserva Particular do Patrimônio Natural;SC;2000;2000;Portaria 41 de 09/08/2000;SÃO JOAQUIM (SC);50.0;0;0;0;50;0;0;0;Mata Atlântica;Uso Sustentável;-28.2887;-49.9457
0000.00.1089;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA POUSADA SERRA PITOCO;Federal;Reserva Particular do Patrimônio Natural;SC;1997;1997;Portaria 40 de 30/04/1997;ITUPORANGA (SC);3.0;0;0;0;3;0;0;0;Mata Atlântica;Uso Sustentável;-27.4101;-49.5963
0000.00.1091;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CHÁCARA EDITH;Federal;Reserva Particular do Patrimônio Natural;SC;2001;2001;Portaria 158 de 24/10/2001;BRUSQUE (SC);416.0;0;0;0;416;0;0;0;Mata Atlântica;Uso Sustentável;-27.0977;-48.9107
0000.00.1092;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BIO ESTAÇÃO ÁGUAS CRISTALINAS;Federal;Reserva Particular do Patrimônio Natural;SC;2002;2002;Portaria 19 de 05/02/2002;BRUSQUE (SC);103.0;0;0;0;103;0;0;0;Mata Atlântica;Uso Sustentável;-27.0977;-48.9107
0000.00.1093;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BARRA DO RIO DO MEIO;Federal;Reserva Particular do Patrimônio Natural;SC;1999;1999;Portaria 23 de 23/02/1999;SANTA ROSA DE LIMA (SC);10.0;0;0;0;10;0;0;0;Mata Atlântica;Uso Sustentável;-28.0331;-49.133
0000.00.1094;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MORRO DA PALHA;Federal;Reserva Particular do Patrimônio Natural;SC;2002;2002;Portaria 62 de 18/04/2002;SÃO FRANCISCO DO SUL (SC);7.0;0;0;0;7;0;0;0;Mata Atlântica;Uso Sustentável;-26.2579;-48.6344
0000.00.1096;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ANO BOM;Federal;Reserva Particular do Patrimônio Natural;SC;2001;2001;Portaria 167 de 14/11/2001;SÃO BENTO DO SUL (SC);87.0;0;0;0;87;0;0;0;Mata Atlântica;Uso Sustentável;-26.2495;-49.3831
0000.00.1097;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CAETEZAL;Federal;Reserva Particular do Patrimônio Natural;SC;2001;2001;Portaria 168 de 14/11/2001;JOINVILLE (SC);4582.0;0;0;0;4582;0;0;0;Mata Atlântica;Uso Sustentável;-26.3045;-48.8487
0000.00.1098;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA BUGERKOPF;Federal;Reserva Particular do Patrimônio Natural;SC;1992;1993;Portaria 148 de 30/12/1992;BLUMENAU (SC);82.0;0;0;0;82;0;0;0;Mata Atlântica;Uso Sustentável;-26.9155;-49.0709
0000.00.1099;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL GRALHA AZUL;Federal;Reserva Particular do Patrimônio Natural;SC;2000;2000;Portaria 27 de 27/04/2000;ÁGUA DOCE (SC);49.0;0;0;0;49;0;0;0;Mata Atlântica;Uso Sustentável;-26.9985;-51.5528
0000.00.1100;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL DO GUAXINIM;Federal;Reserva Particular do Patrimônio Natural;SC;2001;2001;Portaria 66 de 21/05/2001;SÃO JOSÉ (SC);26.0;0;0;0;26;0;0;0;Mata Atlântica;Uso Sustentável;-27.6136;-48.6366
0000.00.1101;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PASSARIM;Federal;Reserva Particular do Patrimônio Natural;SC;2004;2004;Portaria 21/2004-N de 05/03/2004;PAULO LOPES (SC);228.0;0;0;0;228;0;0;0;Mata Atlântica;Uso Sustentável;-27.9607;-48.6864
0000.00.1106;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RECANTO DO ROBALO;Federal;Reserva Particular do Patrimônio Natural;RS;2002;2002;Portaria 57 de 18/04/2002;TORRES (RS);10.0;0;0;0;10;0;0;0;Mata Atlântica;Uso Sustentável;-29.3334;-49.7333
0000.00.1107;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA PARTICULAR SCHUSTER;Federal;Reserva Particular do Patrimônio Natural;RS;1992;1992;Portaria 20 de 04/02/1992;HUMAITÁ (RS);4.0;0;0;0;4;0;0;0;Mata Atlântica;Uso Sustentável;-27.5691;-53.9695
0000.00.1112;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RANCHO MIRA-SERRA;Federal;Reserva Particular do Patrimônio Natural;RS;1997;1997;Portaria 124/97-N de 27/10/1997;SÃO FRANCISCO DE PAULA (RS);17.0;0;0;0;17;0;0;0;Mata Atlântica;Uso Sustentável;-29.4404;-50.5828
0000.00.1114;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SAPUCAIA;Federal;Reserva Particular do Patrimônio Natural;BA;2002;2002;Portaria 52 de 18/04/2002;MARAÚ (BA);18.0;0;0;0;18;0;0;0;Mata Atlântica;Uso Sustentável;-14.1035;-39.0137
0000.00.1123;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BOSQUE DE CANELA;Federal;Reserva Particular do Patrimônio Natural;RS;1998;1998;Portaria 118/98-N de 21/08/1998;CANELA (RS);6.0;0;0;0;6;0;0;0;Mata Atlântica;Uso Sustentável;-29.356;-50.8119
0000.00.1137;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MATA ESTRELA;Federal;Reserva Particular do Patrimônio Natural;RN;2000;2000;Portaria 20 de 30/03/2000;BAÍA FORMOSA (RN);2039.0;0;0;0;2039;0;0;0;Mata Atlântica;Uso Sustentável;-6.37161;-35.0033
0000.00.1139;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA SÃO BENEDITO;Federal;Reserva Particular do Patrimônio Natural;RJ;2001;2001;Portaria 70 de 23/05/2001;RIO CLARO (RJ);143.0;0;0;0;143;0;0;0;Mata Atlântica;Uso Sustentável;-22.72;-44.1419
0000.00.1140;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA SÃO GERALDO;Federal;Reserva Particular do Patrimônio Natural;RJ;1999;1999;Portaria 39-N de 16/04/1999;VALENÇA (RJ);172.0;0;0;0;172;0;0;0;Mata Atlântica;Uso Sustentável;-22.2445;-43.7129
0000.00.1143;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA SANTA IZABEL;Federal;Reserva Particular do Patrimônio Natural;RJ;1996;1996;Portaria 05/96-N de 23/01/1996;MANGARATIBA (RJ);522.0;0;0;0;522;0;0;0;Mata Atlântica;Uso Sustentável;-22.9594;-44.0409
0000.00.1144;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA NOSSA SENHORA DAS GRAÇAS;Federal;Reserva Particular do Patrimônio Natural;RJ;2002;2002;Portaria 171 de 26/12/2002;RIO CLARO (RJ);31.0;0;0;0;31;0;0;0;Mata Atlântica;Uso Sustentável;-22.72;-44.1419
0000.00.1145;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PEDRA AMARILIS;Federal;Reserva Particular do Patrimônio Natural;RJ;1993;1993;Portaria 06-N de 02/02/1993;PETRÓPOLIS (RJ);40.0;0;0;0;40;0;0;0;Mata Atlântica;Uso Sustentável;-22.52;-43.1926
0000.00.1146;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA ECOLÓGICA METODISTA ANA GONZAGA - CEMAG;Federal;Reserva Particular do Patrimônio Natural;RJ;1999;1999;Portaria 44-N de 13/05/1999;RIO DE JANEIRO (RJ);73.0;0;0;0;73;0;0;0;Mata Atlântica;Uso Sustentável;-22.9129;-43.2003
0000.00.1147;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL JORNALISTA ANTENOR NOVAES;Federal;Reserva Particular do Patrimônio Natural;RJ;1999;1999;Portaria 29-N de 11/03/1999;ENGENHEIRO PAULO DE FRONTIN (RJ);125.0;0;0;0;125;0;0;0;Mata Atlântica;Uso Sustentável;-22.5498;-43.6827
0000.00.1148;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MATO GROSSO;Federal;Reserva Particular do Patrimônio Natural;RJ;2001;2001;Portaria 72 de 23/05/2001;SAQUAREMA (RJ);26.0;0;0;0;26;0;0;0;Mata Atlântica;Uso Sustentável;-22.9292;-42.5099
0000.00.1152;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA LIMEIRA;Federal;Reserva Particular do Patrimônio Natural;RJ;1997;1997;Portaria 61-N de 10/06/1997;PETRÓPOLIS (RJ);19.0;0;0;0;19;0;0;0;Mata Atlântica;Uso Sustentável;-22.52;-43.1926
0000.00.1153;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO ANGABA;Federal;Reserva Particular do Patrimônio Natural;RJ;1992;1992;Portaria 41/92 de 07/04/1992;ITAGUAÍ (RJ);29.0;0;0;0;29;0;0;0;Mata Atlântica;Uso Sustentável;-22.8636;-43.7798
0000.00.1155;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA CÓRREGO DA LUZ;Federal;Reserva Particular do Patrimônio Natural;RJ;1993;1993;Portaria 16-N de 19/02/1993;CASIMIRO DE ABREU (RJ);20.0;0;0;0;20;0;0;0;Mata Atlântica;Uso Sustentável;-22.4812;-42.2066
0000.00.1156;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA CACHOEIRINHA;Federal;Reserva Particular do Patrimônio Natural;RJ;1999;1999;Portaria 22 de 23/02/1999;MANGARATIBA (RJ);650.0;0;0;0;650;0;0;0;Mata Atlântica;Uso Sustentável;-22.9594;-44.0409
0000.00.1162;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA ROÇA GRANDE;Federal;Reserva Particular do Patrimônio Natural;RJ;1991;1991;Portaria 481 de 04/03/1991;RIO CLARO (RJ);64.0;0;0;0;64;0;0;0;Mata Atlântica;Uso Sustentável;-22.72;-44.1419
0000.00.1168;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA PORANGABA;Federal;Reserva Particular do Patrimônio Natural;RJ;2002;2002;Portaria 123 de 20/09/2002;ITAGUAÍ (RJ);9.0;0;0;0;9;0;0;0;Mata Atlântica;Uso Sustentável;-22.8636;-43.7798
0000.00.1169;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MARIA FRANCISCA GUIMARÃES;Federal;Reserva Particular do Patrimônio Natural;RJ;1998;1998;Portaria 160-N de 07/12/1998;TERESÓPOLIS (RJ);1.0;0;0;0;1;0;0;0;Mata Atlântica;Uso Sustentável;-22.4165;-42.9752
0000.00.1170;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL GAIA;Federal;Reserva Particular do Patrimônio Natural;RJ;2002;2002;Portaria 122 de 20/09/2002;BOM JARDIM (RJ);40.0;0;0;0;40;0;0;0;Mata Atlântica;Uso Sustentável;-22.1545;-42.4251
0000.00.1172;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO SANTA FÉ;Federal;Reserva Particular do Patrimônio Natural;RJ;1996;1996;Portaria 110-N de 29/11/1996;SILVA JARDIM (RJ);14.0;0;0;0;14;0;0;0;Mata Atlântica;Uso Sustentável;-22.6574;-42.3961
0000.00.1173;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO PORANGA;Federal;Reserva Particular do Patrimônio Natural;RJ;1992;1992;Portaria 41/92 de 07/04/1992;ITAGUAÍ (RJ);34.0;0;0;0;34;0;0;0;Mata Atlântica;Uso Sustentável;-22.8636;-43.7798
0000.00.1175;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO GRANJA SÃO JORGE;Federal;Reserva Particular do Patrimônio Natural;RJ;1999;1999;Portaria 91-N de 15/10/1999;RIO DE JANEIRO (RJ);3.0;0;0;0;3;0;0;0;Mata Atlântica;Uso Sustentável;-22.9129;-43.2003
0000.00.1181;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL IGUAÇU I;Federal;Reserva Particular do Patrimônio Natural;PR;2001;2001;Portaria 166 de 14/11/2001;QUEDAS DO IGUAÇU (PR);5171.0;0;0;0;5171;0;0;0;Mata Atlântica;Uso Sustentável;-25.4492;-52.9102
0000.00.1182;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PRIMAVERA I;Federal;Reserva Particular do Patrimônio Natural;BA;2008;2008;Portaria 75/2008 de 10/09/2008;PRADO (BA);500.0;0;0;0;500;0;0;0;Mata Atlântica;Uso Sustentável;-17.3364;-39.2227
0000.00.1183;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL DAS ARAUCÁRIAS;Federal;Reserva Particular do Patrimônio Natural;PR;1999;1999;Portaria 79/99-N de 21/09/1999;GENERAL CARNEIRO (PR);114.0;0;0;0;114;0;0;0;Mata Atlântica;Uso Sustentável;-26.425;-51.3172
0000.00.1186;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ALEGRETE;Federal;Reserva Particular do Patrimônio Natural;PR;1994;1994;Portaria 070/1994-N de 07/07/1994;PALMEIRA (PR);153.0;0;0;0;153;0;0;0;Mata Atlântica;Uso Sustentável;-25.4257;-50.007
0000.00.1187;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO MONTE ARARAT;Federal;Reserva Particular do Patrimônio Natural;PR;2002;2002;Portaria 104/2002 de 07/08/2002;BOCAIÚVA DO SUL (PR);10.0;0;0;0;10;0;0;0;Mata Atlântica;Uso Sustentável;-25.2066;-49.1141
0000.00.1189;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO DO BANANAL;Federal;Reserva Particular do Patrimônio Natural;PR;2002;2002;Portaria 49/2002 de 18/04/2002;MORRETES (PR);29.0;0;0;0;29;0;0;0;Mata Atlântica;Uso Sustentável;-25.4744;-48.8345
0000.00.1200;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FREI CANECA;Federal;Reserva Particular do Patrimônio Natural;PE;2002;2002;Portaria 91 de 06/08/2002;JAQUEIRA (PE);619.0;0;0;0;619;0;0;0;Mata Atlântica;Uso Sustentável;-8.72618;-35.7942
0000.00.1201;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL NOSSA SENHORA DO OITEIRO DE MARACAÍPE;Federal;Reserva Particular do Patrimônio Natural;PE;2000;2000;Portaria 58 de 26/09/2000;IPOJUCA (PE);75.0;0;0;0;75;0;0;0;Mata Atlântica;Uso Sustentável;-8.39303;-35.0609
0000.00.1236;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA FLORESTA NEGRA;Federal;Reserva Particular do Patrimônio Natural;MS;2001;2001;Portaria 160 de 24/10/2001;SETE QUEDAS (MS);953.0;0;0;0;953;0;0;0;Mata Atlântica;Uso Sustentável;-23.9705;-55.0398
0000.00.1248;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA RESSACA;Federal;Reserva Particular do Patrimônio Natural;MG;1998;1998;Portaria 25/98-N de 02/03/1998;MANGA (MG);4055.0;0;0;0;4055;0;0;0;Mata Atlântica;Uso Sustentável;-14.7529;-43.9391
0000.00.1254;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FELICIANO MIGUEL ABDALA;Federal;Reserva Particular do Patrimônio Natural;MG;2001;2001;Portaria 116/2001 de 03/09/2001;CARATINGA (MG);950.0;0;0;0;950;0;0;0;Mata Atlântica;Uso Sustentável;-19.7868;-42.1292
0000.00.1255;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA MACEDÔNIA;Federal;Reserva Particular do Patrimônio Natural;MG;1994;1994;Portaria 111/94-N de 14/10/1994;IPABA (MG);560.0;0;0;0;560;0;0;0;Mata Atlântica;Uso Sustentável;-19.4158;-42.4139
0000.00.1256;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MONLEVADE;Federal;Reserva Particular do Patrimônio Natural;MG;1993;1993;Portaria 17-N de 19/02/1993;JOÃO MONLEVADE (MG);519.0;0;0;0;519;0;0;0;Mata Atlântica;Uso Sustentável;-19.8126;-43.1735
0000.00.1267;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTAÇÃO BIOLÓGICA DA MATA DO SOSSEGO;Federal;Reserva Particular do Patrimônio Natural;MG;1998;1998;Portaria 20-N de 16/02/1998;SIMONÉSIA (MG);134.0;0;0;0;134;0;0;0;Mata Atlântica;Uso Sustentável;-20.1341;-42.0091
0000.00.1269;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL COMODATO RESERVA DE PETI;Federal;Reserva Particular do Patrimônio Natural;MG;2001;2001;Portaria 99/2001 de 03/09/2001;SÃO GONÇALO DO RIO ABAIXO (MG);96.0;0;0;0;96;0;0;0;Mata Atlântica;Uso Sustentável;-19.8221;-43.366
0000.00.1270;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA ALTO DA BOA VISTA;Federal;Reserva Particular do Patrimônio Natural;MG;1999;1999;Portaria 11-N de 11/02/1999;BOCAINA DE MINAS (MG);55.0;0;0;0;55;0;0;0;Mata Atlântica;Uso Sustentável;-22.1697;-44.3972
0000.00.1275;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA DO IRACAMBI;Federal;Reserva Particular do Patrimônio Natural;MG;1999;1999;Portaria 74/99-N de 13/09/1999;ROSÁRIO DA LIMEIRA (MG);69.0;0;0;0;69;0;0;0;Mata Atlântica;Uso Sustentável;-20.9812;-42.5112
